EventID,Slot,PlayerName,RoleAtRegistration,Teilgenommen,Punkte,Warnungen
DS-2025-11-07-A,1,itsH4K1,Start,1,1548053,
DS-2025-11-07-A,2,KingKobra2,Start,1,1202800,
DS-2025-11-07-A,3,Maggyispass,Start,1,715915,
DS-2025-11-07-A,4,Kartoffeleis,Start,1,1499495,
DS-2025-11-07-A,5,Jimmy die Robbe,Start,1,1712675,
DS-2025-11-07-A,6,Pickopf,Start,0,0,
DS-2025-11-07-A,7,Schalmei3,Start,1,575180,
DS-2025-11-07-A,8,PAvluWKA,Start,1,570566,
DS-2025-11-07-A,9,mahaja,Start,1,412560,
DS-2025-11-07-A,10,BobbydyBob,Start,1,523272,
DS-2025-11-07-A,11,ZANGE,Start,1,269808,
DS-2025-11-07-A,12,rompa007,Start,1,1240630,
DS-2025-11-07-A,13,Zombie666 80 420,Start,1,523756,
DS-2025-11-07-A,14,Littel joe,Start,1,1384126,
DS-2025-11-07-A,15,Alonzo Mosley,Start,1,134448,
DS-2025-11-07-A,16,Marikopopo,Start,1,1916112,
DS-2025-11-07-A,17,Damien 44,Start,1,1463627,
DS-2025-11-07-A,18,Nico 90,Start,0,0,
DS-2025-11-07-A,19,Tobinho25,Start,1,356426,
DS-2025-11-07-A,20,Evil activities,Start,1,1021652,
DS-2025-11-07-A,1,Colombo123,Ersatz,1,91010,
DS-2025-11-07-A,2,DNA16,Ersatz,0,0,
DS-2025-11-07-A,3,Pick Lussy,Ersatz,0,0,
DS-2025-11-07-A,4,Aegolas,Ersatz,0,0,
DS-2025-11-07-A,5,Kurme,Ersatz,0,0,
DS-2025-11-07-A,6,CS8888,Ersatz,0,0,
DS-2025-11-07-A,7,Baldurbabu,Ersatz,0,0,
DS-2025-11-07-A,8,Slepy83,Ersatz,0,0,
DS-2025-11-07-A,9,Fenworld,Ersatz,1,384670,
DS-2025-11-07-A,10,PushingSky,Ersatz,0,0,
