EventID,Slot,PlayerName,RoleAtRegistration,Teilgenommen,Punkte,Warnungen
DS-2025-10-24-A,1,Maggyispass,Start,1,2242156,
DS-2025-10-24-A,2,Marikopopo,Start,1,2195131,
DS-2025-10-24-A,3,Jimmy die Robbe,Start,1,1870838,
DS-2025-10-24-A,4,Damien 44,Start,1,1706517,
DS-2025-10-24-A,5,itsH4K1,Start,1,1600416,
DS-2025-10-24-A,6,Cupra290,Start,1,1345486,
DS-2025-10-24-A,7,Kartoffeleis,Start,1,1344286,
DS-2025-10-24-A,8,rompa007,Start,1,1037783,
DS-2025-10-24-A,9,Elevn765,Start,1,1029957,
DS-2025-10-24-A,10,Tobinho25,Start,1,850634,
DS-2025-10-24-A,11,KingKobra2,Start,1,726356,
DS-2025-10-24-A,12,Zombie666 80 420,Start,1,712954,
DS-2025-10-24-A,13,Schalmei3,Start,1,692463,
DS-2025-10-24-A,14,mahaja,Start,1,653352,
DS-2025-10-24-A,15,Littel joe,Start,1,612564,
DS-2025-10-24-A,16,BobbydyBob,Start,1,436914,
DS-2025-10-24-A,17,Alonzo Mosley,Start,0,0,
DS-2025-10-24-A,18,Evil activities,Start,0,0,
DS-2025-10-24-A,19,Toto 69,Start,0,0,
DS-2025-10-24-A,20,ZANGE,Start,0,0,
DS-2025-10-24-A,1,TheFisch,Ersatz,1,932642,
DS-2025-10-24-A,2,Fenworld,Ersatz,1,215703,
DS-2025-10-24-A,3,Haui1986,Ersatz,0,0,
DS-2025-10-24-A,4,Jo Ghurt,Ersatz,0,0,
DS-2025-10-24-A,5,John Doe 0815,Ersatz,0,0,
DS-2025-10-24-A,6,lOmsen,Ersatz,0,0,
DS-2025-10-24-A,7,Nico 90,Ersatz,0,0,
DS-2025-10-24-A,8,PAvluWKA,Ersatz,0,0,
