EventID,Slot,PlayerName,RoleAtRegistration,Teilgenommen,Punkte,Warnungen
DS-2025-11-07-B,1,APM77,Start,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,2,KUBI01,Start,1,108083,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,3,Maik1234567890,Start,1,891947,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,4,Elevn765,Start,1,931935,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,5,Cupra290,Start,1,1656838,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,6,Aegolas,Start,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,7,Alstermaus,Start,1,120651,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,8,BjörnBärchi,Start,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,9,cindy934,Start,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,10,Dany Bossss,Start,1,74292,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,11,Michael 3840,Start,1,83713,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,12,Pickopf,Start,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,13,Stiegl 13,Start,1,12886,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,14,HeJoe,Start,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,15,King21king,Start,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,16,Kaiserslautern1900,Start,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,17,jаymаcтacjay,Start,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,18,Mokari2111x,Start,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,19,Leraxo,Start,1,52512,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,20,Kamikaze 82,Start,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,1,MODA33,Ersatz,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,2,Dragon0407,Ersatz,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,3,capsharky,Ersatz,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,4,Globi3000,Ersatz,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,5,John Doe 0815,Ersatz,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,6,Jo Ghurt,Ersatz,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,7,Schlumpfsoldat 4714,Ersatz,1,171015,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,8,Domdom15,Ersatz,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,9,DevastatorJMI,Ersatz,1,39915,RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-07-B,10,Darkface 46,Ersatz,0,0,RESULT_PARTICIPATION_SHORTFALL(delta=9)
