EventID,Slot,PlayerName,RoleAtRegistration,Teilgenommen,Punkte,Warnungen
DS-2025-11-14-A,1,itsH4K1,Start,1,1991273,
DS-2025-11-14-A,2,KingKobra2,Start,0,0,
DS-2025-11-14-A,3,Maggyispass,Start,1,1365880,RESULT_DUPLICATE_ENTRIES(chosen=max)
DS-2025-11-14-A,4,Jimmy die Robbe,Start,1,1882380,
DS-2025-11-14-A,5,TheFisch,Start,1,1051322,
DS-2025-11-14-A,6,Schalmei3,Start,1,909652,
DS-2025-11-14-A,7,rompa ru,Start,1,426612,RESULT_DUPLICATE_ENTRIES(chosen=max)
DS-2025-11-14-A,8,KUBI01,Start,1,968856,
DS-2025-11-14-A,9,Alonzo Mosley,Start,1,1704772,
DS-2025-11-14-A,10,x Earl x,Start,1,325787,RESULT_DUPLICATE_ENTRIES(chosen=max)
DS-2025-11-14-A,11,Marikopopo,Start,1,2569952,
DS-2025-11-14-A,12,Littel joe,Start,1,569165,
DS-2025-11-14-A,13,Tobinho25,Start,1,728170,
DS-2025-11-14-A,14,PAvluWKA,Start,1,250050,RESULT_DUPLICATE_ENTRIES(chosen=max)
DS-2025-11-14-A,15,mahaja,Start,1,232720,RESULT_DUPLICATE_ENTRIES(chosen=max)
DS-2025-11-14-A,16,BobbydyBob,Start,1,1540916,
DS-2025-11-14-A,17,Kurdun Laneti,Start,1,17304,RESULT_DUPLICATE_ENTRIES(chosen=max)
DS-2025-11-14-A,18,Damien 44,Start,1,2070863,
DS-2025-11-14-A,19,Leraxo,Start,0,0,
DS-2025-11-14-A,20,Re3Slim3,Start,1,243946,RESULT_DUPLICATE_ENTRIES(chosen=max)
DS-2025-11-14-A,1,Kinkel27,Ersatz,0,0,
DS-2025-11-14-A,2,Michael 3840,Ersatz,0,0,
DS-2025-11-14-A,3,Manu1206,Ersatz,0,0,
DS-2025-11-14-A,4,D a r k h o l d,Ersatz,0,0,
DS-2025-11-14-A,5,Nico 90,Ersatz,0,0,
DS-2025-11-14-A,6,Satauman,Ersatz,0,0,
DS-2025-11-14-A,7,Ginge4,Ersatz,0,0,
DS-2025-11-14-A,8,John Doe 0815,Ersatz,1,502760,RESULT_DUPLICATE_ENTRIES(chosen=max)
DS-2025-11-14-A,9,jaymacmacjay,Ersatz,0,0,
DS-2025-11-14-A,10,König Hoffi,Ersatz,0,0,
