EventID,Slot,PlayerName,RoleAtRegistration,Teilgenommen,Punkte,Warnungen
DS-2025-11-28-B,1,Cupra290,Start,1,1025837,COUNT_MISMATCH_ERSATZ;COUNT_MISMATCH_START;RESULT_PARTICIPATION_SHORTFALL(delta=8);SLOT_GAP_SECTION
DS-2025-11-28-B,2,Maik Elt,Start,1,2050098,COUNT_MISMATCH_ERSATZ;COUNT_MISMATCH_START;RESULT_PARTICIPATION_SHORTFALL(delta=8);SLOT_GAP_SECTION
DS-2025-11-28-B,3,Fenworld,Start,1,1068535,COUNT_MISMATCH_ERSATZ;COUNT_MISMATCH_START;RESULT_PARTICIPATION_SHORTFALL(delta=8);SLOT_GAP_SECTION
DS-2025-11-28-B,4,Kurdun Laneti,Start,1,51101,COUNT_MISMATCH_ERSATZ;COUNT_MISMATCH_START;RESULT_PARTICIPATION_SHORTFALL(delta=8);SLOT_GAP_SECTION
DS-2025-11-28-B,5,cindy934,Start,1,73642,COUNT_MISMATCH_ERSATZ;COUNT_MISMATCH_START;RESULT_PARTICIPATION_SHORTFALL(delta=8);SLOT_GAP_SECTION
DS-2025-11-28-B,6,Jane Doe 0815,Start,1,351365,COUNT_MISMATCH_ERSATZ;COUNT_MISMATCH_START;NAME_MATCH_INSENSITIVE;RESULT_PARTICIPATION_SHORTFALL(delta=8);SLOT_GAP_SECTION
DS-2025-11-28-B,7,Dany Bossss,Start,1,585981,COUNT_MISMATCH_ERSATZ;COUNT_MISMATCH_START;RESULT_PARTICIPATION_SHORTFALL(delta=8);SLOT_GAP_SECTION
DS-2025-11-28-B,8,Pickopf,Start,1,332192,COUNT_MISMATCH_ERSATZ;COUNT_MISMATCH_START;RESULT_PARTICIPATION_SHORTFALL(delta=8);SLOT_GAP_SECTION
DS-2025-11-28-B,9,BjörnBärchi,Start,1,138384,COUNT_MISMATCH_ERSATZ;COUNT_MISMATCH_START;RESULT_PARTICIPATION_SHORTFALL(delta=8);SLOT_GAP_SECTION
DS-2025-11-28-B,10,Evil Activities,Start,1,2970,COUNT_MISMATCH_ERSATZ;COUNT_MISMATCH_START;NAME_MATCH_INSENSITIVE;RESULT_PARTICIPATION_SHORTFALL(delta=8);SLOT_GAP_SECTION
DS-2025-11-28-B,11,CRZDR79,Start,0,0,COUNT_MISMATCH_ERSATZ;COUNT_MISMATCH_START;RESULT_PARTICIPATION_SHORTFALL(delta=8);SLOT_GAP_SECTION
DS-2025-11-28-B,12,Moscha,Start,1,384076,COUNT_MISMATCH_ERSATZ;COUNT_MISMATCH_START;NAME_MATCH_INSENSITIVE;RESULT_PARTICIPATION_SHORTFALL(delta=8);SLOT_GAP_SECTION
DS-2025-11-28-B,13,Darkface 46,Start,1,86671,COUNT_MISMATCH_ERSATZ;COUNT_MISMATCH_START;RESULT_PARTICIPATION_SHORTFALL(delta=8);SLOT_GAP_SECTION
