EventID,Slot,PlayerName,RoleAtRegistration,Teilgenommen,Punkte,Warnungen
DS-2025-09-19-A,1,Jimmy die Robbe,Start,1,1231319,
DS-2025-09-19-A,2,Cupra290,Start,1,1041541,
DS-2025-09-19-A,3,Maggyispass,Start,1,1010607,
DS-2025-09-19-A,4,Kartoffeleis,Start,1,970067,
DS-2025-09-19-A,5,Alonzo Mosley,Start,1,907302,
DS-2025-09-19-A,6,Maik1234567890,Start,1,866566,
DS-2025-09-19-A,7,itsH4K1,Start,1,624410,
DS-2025-09-19-A,8,mahaja,Start,1,502727,
DS-2025-09-19-A,9,Elevn765,Start,1,497112,
DS-2025-09-19-A,10,BobbydyBob,Start,1,389497,
DS-2025-09-19-A,11,Schalmei3,Start,1,326753,
DS-2025-09-19-A,12,Zombie666 80 420,Start,1,317604,
DS-2025-09-19-A,13,TheFisch,Start,1,298117,
DS-2025-09-19-A,14,Nico 90,Start,1,289048,
DS-2025-09-19-A,15,DevastatorJMI,Start,0,0,
DS-2025-09-19-A,16,Domdom15,Start,0,0,
DS-2025-09-19-A,17,HANN1453,Start,0,0,
DS-2025-09-19-A,18,KingKobra2,Start,0,0,
DS-2025-09-19-A,19,PAvluWKA,Start,0,0,
DS-2025-09-19-A,20,Toto 69,Start,0,0,
DS-2025-09-19-A,1,Marikopopo,Ersatz,1,758412,
DS-2025-09-19-A,2,rompa007,Ersatz,1,523798,
DS-2025-09-19-A,3,Colombo123,Ersatz,1,310548,
DS-2025-09-19-A,4,cindy934,Ersatz,1,95476,
DS-2025-09-19-A,5,DerOle83,Ersatz,0,0,
DS-2025-09-19-A,6,Doodo12,Ersatz,0,0,
DS-2025-09-19-A,7,Michael 3840,Ersatz,0,0,
DS-2025-09-19-A,8,NkTobi,Ersatz,0,0,
DS-2025-09-19-A,9,OGnastea,Ersatz,0,0,
DS-2025-09-19-A,10,PustxBlumx,Ersatz,0,0,
